Name,Brand,Button,Collaborazione,Copertina,Copy,Data di pubblicazione,Data di registrazione,Formato,Reference,Script,Social,Soggetto,Stato,Tipologia contenuto
NEOGELA: ricetta salutare con il collagene,Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,
"NEOGELA: Dolore alle ossa? Quali esami possono aiutarti ",Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Informativo
NEOGELA: Frattura spontanea? Serve una MOC!,Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,
NEOGELA: Dove si fa la MOC,Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,
NEOGELA: Chi prescrive la MOC,Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,
NEOGELA: Quali valori guardare nel referto della MOC,Neogela,,,,,28/11/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Informativo
NEOGELA: Densitometria ossea: l’esame che dovresti fare dopo una certa età,Neogela,,,,,,09/03/2026,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Informativo
"NEOGELA: Moc dexa, densitometria in farmacia, BesTest, Ecolight: quale scegliere",Neogela,,,,,,25/11/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Consigli
NEOGELA: Hai fatto la MOC in un’altra struttura? Ecco perché devi farla sempre nello stesso posto,Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Informativo
NEOGELA: Recupero post infortunio (con Personal Trainer),Neogela,,mattia_casonato.pt,"Quanto è importante il recupero post-infortunio ","Se ti sei infortunato e il dolore è passato, non pensare che sia tutto risolto. Il momento di agire in modo diretto è proprio questo. 

Mattia Casonato, personal trainer, ci racconta quanto la fase di recupero post-infortunio sia fondamentale per ritrovare la piena funzionalità della zona che subito infortunio. 

È necessario riprendere il movimento in modo graduale e controllato, per evitare che una disattenzione si traduca in un secondo infortunio. ",12/08/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Informativo
NEOGELA: Recupero funzionale (con Personal Trainer),Neogela,,mattia_casonato.pt,Recupero funzionale: quando serve,"Il recupero funzionale NON È SOLO utile in seguito ad un infortunio, ma fondamentale anche quando senti che il tuo corpo non sta funzionando al meglio. 

Spesso ci si ferma prima di aver davvero ricostruito forza e mobilità, con il rischio di andare incontro a nuovi dolori o peggio infortuni. 

Un percorso strutturato con un personal trainer specializzato può aiutarti a recuperare nel modo giusto ed evitare danni futuri. 
Vuoi ritrovare la tua forma migliore? Seguici per altri consigli di salute 💪",09/09/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Informativo
NEOGELA: Dolori articolari (con Personal Trainer),Neogela,,mattia_casonato.pt,Dolore articolare: devo stare fermo?,"Dolori articolari? Non smettere di muoverti! 

Il dolore alle articolazioni è il segnale di qualcosa che non sta funzionando, ma non è la sedentarietà quello che ti aiuterà a stare meglio. 

Rivolgerti ad un personal trainer esperto può aiutarti ad individuare la causa all’origine di questo dolore e il percorso giusto per recuperare la funzionalità articolare. 

Seguici sui nostri profili per capire come integrazione e attività fisica possono aiutarti a dire addio ai dolori articolari 💪",08/07/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Consigli
NEOGELA: Perché non ho scoperto prima di avere l’osteoporosi?,Neogela,,,,,,29/01/2026,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Domande dal blog
NEOGELA: Primi sintomi dell’indebolimento osseo,Neogela,,,Come riconoscere l’indebolimento osseo,"Riconoscere l’indebolimento osseo non è così semplice, spesso non ci sono sintomi evidenti.

Esistono però dei campanelli di allarme che possiamo riconoscere: 
➡️ dolore diffuso alla schiena senza un motivo preciso
➡️ riduzione della statura
➡️ la schiena che tende ad incurvarsi
➡️ facilità a fratturarsi

Se ti riconosci in uno di questi segnali, rivolgiti al tuo medico e richiedi un controllo della densità ossea.

Conoscere lo stato di salute delle tue ossa è il primo passo per sapere come prendertene cura al meglio. 💪",22/08/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Informativo
NEOGELA: Differenza tra osteopenia e osteoporosi,Neogela,,,,,,09/03/2026,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Informativo
"NEOGELA: Ho l’osteoporosi, sono ancora in tempo?",Neogela,,,Ho l’osteoporosi: sono ancora in tempo?,"Assolutamente sì! 
Se hai l’osteoporosi, non fermarti: sei ancora in tempo per migliorare. ↗️

La cosa peggiore che si possa fare di fronte ad una diagnosi di osteoporosi è pensare che ormai non ci sia più nulla da fare lasciando che il tempo faccia il suo corso. ❌

Sicuramente capire da dove ha avuto origine la patologia è fondamentale per trovare il percorso di cura più adatto, ma ci sono 4 cose che puoi cominciare a fare subito: 

✅ Mangiare correttamente facendo attenzione a introdurre tutti i nutrienti necessari
✅ Regolarizzare l’attività fisica con carico con l’aiuto di un professionista
✅ Evitare abitudini controproducenti come fumo e alcol
✅ Discutere con il tuo medico l’eventuale assunzione di integratori e/o farmaci

Non trascurare le tue ossa: seguici e scopri come prenderti cura di loro ogni giorno 💪",29/10/2025,15/09/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,🗓️ Programmato,Domande dal blog
"NEOGELA: Prendo la vitamina D, come faccio ad avere l’osteoporosi?",Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Informativo
NEOGELA: Sei in cura per un tumore al seno? Fai attenzione a questa cosa,Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,
NEOGELA: Calcio alto nel sangue e osteoporosi,Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Informativo
NEOGELA: Di cosa sono fatte le ossa e perché si indeboliscono,Neogela,,,,,,25/11/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,EduCollagene
NEOGELA: Quante proteine al giorno mangiare in caso di osteoporosi,Neogela,,,,,,29/08/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Informativo
NEOGELA: Come fa il collagene ad arrivare alle ossa?,Neogela,,,Come fa il collagene ad arrivare alle ossa?,"C’è chi sostiene che il collagene una volta assunto non possa arrivare alle ossa, eppure diversi studi dimostrano la sua efficacia nel stimolare la rigenerazione del tessuto osseo. 

Il Dott.Zeggio ci spiega come fa il collagene a raggiungere le ossa una volta ingerito. 

Il segreto? Scegliere il giusto collagene idrolizzato e con la migliore composizione aminoacidica. I giusti aminoacidi fungono infatti da segnale per le cellule addette alla rigenerazione dei tessuti che provvederanno a nutrire e riparare ossa, cartilagini, pelle. 

E tu lo sapevi? 🤔",03/10/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,EduCollagene
NEOGELA: Differenza tra collagene vegetale e animale,Neogela,,,,,,09/03/2026,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,
NEOGELA: Collagene vs glucosamina e condroitina,Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Informativo
NEOGELA: Carenza di collagene? Ecco come capirlo,Neogela,,,,,,09/03/2026,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,
NEOGELA: Stai assumendo collagene ma non sai se sta funzionando? Ecco come capirlo,Neogela,,,,,,25/11/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Consigli
NEOGELA: caso di una persona che è migliorata con il collagene,Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,
NEOGELA: Il collagene è davvero il rimedio miracoloso per tutti i mali?,Neogela,,,,,,29/08/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,EduCollagene
NEOGELA: Da dove viene la nostra materia prima,Neogela,,,Da dove deriva il nostro collagene?,"Dovresti sapere da dove arriva il collagene che vorresti assumere. 

La qualità della materia prima da cui deriva il nostro collagene è per noi motivo di orgoglio, ecco perché esponiamo le certificazioni e dichiarazioni sugli allevamenti svizzeri da cui proviene il nostro prodotto. 

✅ Controlli sanitari rigorosi, no ad allevamenti intensivi, antibiotici né ormoni. 
✅ Processi di produzione sicuri e tracciabili con controlli ad ogni lotto. 

Solo da una materia prima eccellente può derivare un prodotto valido ed efficace",26/09/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Aziendale
NEOGELA: Metalli pesanti e certificazioni,Neogela,,,,,,29/01/2026,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,
NEOGELA: Ho letto la tabella nutrizionale ma non c’è scritto da nessuna parte collagene,Neogela,,,Tabella nutrizionale: non vedo il collagene,"Cerchi collagene nella tabella nutrizionale ma non lo trovi scritto? 🤔
Ecco qualche consiglio per leggere correttamente l’etichetta di un integratore a base di collagene e scegliere quello giusto per te ✅

Salva il video se lo hai trovato utile, potresti volerlo rivedere 👀",12/09/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Domande dal blog
NEOGELA: Come sapere se un collagene è sicuro,Neogela,,,,,,29/01/2026,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Informativo
NEOGELA: due collageni a confronto che sciolgono nell’acqua,Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,
NEOGELA: Perché offriamo consulenza gratuita,Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Differenziazione
NEOGELA: Come si svolgono le consulenza qui in azienda,Neogela,,,,,,05/12/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Differenziazione
NEOGELA: 3 motivi per cui richiedere una consulenza prima di acquistare un prodotto,Neogela,,,,,,05/12/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Differenziazione
NEOGELA: Recensione sul nostro servizio di consulenza,Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,
LYNUP: ricetta che comprenda i micronutrienti essenziali per le ossa,,,,,,,29/08/2025,Reel,,,"Facebook, Instagram, TikTok",,💻 Da montare,Differenziazione
LYNUP: una giornata tipo vissuta al top (con Lynup tutte le tue giornate possono essere così),,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Differenziazione
LYNUP: confronto tra Lynup e altri multivitaminici (lista ingredienti una corta una lunghissima),,,,Quanto è lunga la lista ingredienti del tuo multivitaminico?,"Che senso ha assumere tanti ingredienti se poi questi non vengono assorbiti efficacemente e non sono nemmeno quelli di cui avresti bisogno? 😥

Lynup ha fatto una scelta diversa: pochi ingredienti selezionati, ma quelli che servono davvero alle tue ossa e nel giusto dosaggio. 

Niente inutili aggiunte, nessun additivo. 

Perché prendersi cura delle proprie ossa deve essere semplice 💜",10/07/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,🗓️ Programmato,Differenziazione
LYNUP: Vitamina D e Vitamina K2,,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,💻 Da montare,Informativo
LYNUP: tutte le funzioni della vitamina C,,,,Perché la vitamina C è così importante?,"No, non serve solo a rinforzare le difese immunitarie 🧐

La vitamina C è una risorsa formidabile per il nostro organismo. 
Non è solo utile per “tenere lontana l’influenza”, ha un ruolo importantissimo per la struttura portante del nostro corpo. 💪

La vitamina C infatti stimola la produzione interna di collagene, la proteina che compone ossa, cartilagini, pelle, perfino le pareti dei vasi sanguigni. 

Sei sicuro di poterne fare a meno? 
Scrivici nei commenti se la stai già assumendo e segui la pagina 💜",30/10/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,🗓️ Programmato,Informativo
LYNUP: tutte le funzioni della vitamina K2,,,,Perché la vitamina K2 è così importante?,"In pochi conoscono gli effetti positivi della vitamina K2 sulla salute ossa:
✅ attiva l’osteocalcina che lega il calcio alle ossa
✅ attiva la proteina MGP che impedisce l’accumulo del calcio nei tessuti molli

Grazie alla vitamina K2, il calcio evita di depositarsi nelle arterie e va a nutrire i tessuti che davvero ne hanno bisogno: ossa e denti. 💪

Non si trova nei comuni alimenti, ecco perché integrarne una piccola dose in modo costante ti aiuta a mantenere attivi questi importanti processi. 

E tu? Integri già la vitamina K2? Scrivilo nei commenti!",28/08/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Informativo
LYNUP: tutte le funzioni del calcio,,,,"Perché il calcio è così importante? ","Il 99% del calcio nel nostro organismo si trova depositato nel tessuto osseo e nei denti, per dare loro durezza. 💪

Ma c’è anche un 1% circolante il cui ruolo non è da trascurare: 
✅ regola la contrazione muscolare
✅ supporta la trasmissione nervosa
✅ interviene nella coagulazione del sangue

Assumere calcio a sufficienza è fondamentale per le tue ossa, e non solo! Perché se non vi è calcio circolante a sufficienza, l’organismo lo ricava proprio dal tessuto osseo. 

Conoscevi tutte le funzioni del calcio? Segui la pagina per continuare a ricevere informazioni utili sulla salute ossea (e non solo 😉)",20/11/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,🗓️ Programmato,Informativo
LYNUP: tutte le funzioni del magnesio,,,,Perché il magnesio è così importante?,"Quante volte ti hanno consigliato di assumere magnesio nei mesi caldi? 
Aiuta a combattere la stanchezza e supporta il sistema nervoso e muscolare. 

Ma non è tutto: il magnesio è coinvolto in oltre 300 processi interni al nostro organismo ed è per questo che dovresti verificare quanto ne assumi anche nel resto dell’anno. 

Scopri in questo video tutte le funzioni del magnesio e come può aiutare la tua salute ossea 🦴
E tu sai se ne assumi a sufficienza?",31/07/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Informativo
"LYNUP: tutte le funzioni del silicio ",,,,Perché il silicio è così importante?,"Ecco perché le tue ossa sono felici se assumi silicio: 
✅ viene stimolata la produzione interna di collagene, la proteina che dà struttura alle ossa e le rende elastiche
✅ il tessuto ossea si mineralizza più efficacemente

Non sempre con la dieta è facile assumere una quantità sufficiente di silicio, per questo un integratore specifico può aiutarti.

Vuoi saperne di più sulle buone abitudini che aiutano le tue ossa? Segui la pagina 💜",25/09/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Informativo
NEOGELA: I benefici del pilates (con Fisioterapista),Neogela,,fisioterapiavicenza,I benefici del pilates,"Avevi mai considerato il pilates? Se hai problematiche osteoarticolari dovresti proprio farlo!

La Dott.ssa Marcelli Pales, Fisioterapista, ci racconta tutti i benefici di questa disciplina, insegnandoci che il pilates non è una semplice ginnastica dolce ma un lavoro attento che può migliorare la quotidianità di chi soffre di osteoporosi o artrosi. 

Vuoi sapere se il pilates può fare al caso tuo? Segui i nostri profili per altri consigli di salute 🤸",23/09/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Informativo
NEOGELA: 3 attività consigliate per alleviare il dolore da artrosi (con Fisioterapista),Neogela,,fisioterapiavicenza,3 attività consigliate in caso di artrosi,"Dolore da artrosi? La giusta attività fisica può aiutarti ad alleviarlo 💪

Ecco 3 attività consigliate dalla Dott.ssa Marcelli Pales, fisioterapista
✅ Yoga e Pilates
✅ Camminata a ritmo sostenuto
✅ Esercizi per il rinforzo muscolare

Seguici sui nostri profili per sapere di più su come migliorare la tua salute articolare con integrazione e attività fisica 🦵",29/07/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Consigli
NEOGELA: Perché fare rieducazione posturale può aiutare contro l’osteoporosi (con Fisioterapista),Neogela,,studiofisioterapiavicenza,RPG contro l’osteoporosi,"Hai mai sentito parlare di Rieducazione Posturale Globale? 
La Dott.ssa Marcelli Pales, fisioterapista esperta di RPG, ci racconta su quali principi si basa questa tecnica e perché può aiutare in caso di osteoporosi. 

Se soffri di osteopenia o osteoporosi e cerchi consigli utili e pratici per migliorare il tuo benessere, seguici sui nostri profili 💙",26/08/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Informativo
NEOGELA: Come risolvere i miei problemi (PROMO),Neogela,,,Promo estiva: bustine in omaggio,"Lasciare a casa il collagene? Non se ne parla! 

Per questo c’è la promo estiva Neogela 👇
Dal 14 al 24 luglio, spendendo almeno €50 sul nostro shop ricevi in omaggio le comode bustine da viaggio per portare il collagene in vacanza con te! E in regalo un super gadget estivo 🏝️

Corri sul sito e approfittane ora 😎",21/07/2025,,Reel,https://www.instagram.com/reel/DIGeuWhI8nQ/?igsh=cTg2MG9iZTE1bGJy,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Trend
NEOGELA: Quanti errori farai oggi?,Neogela,,,,,,,Reel,https://www.instagram.com/p/DHgKIlgM6cv/,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Trend
NEOGELA: Preparazione di un pacco,Neogela,,,,,,15/05/2026,Reel,https://www.instagram.com/p/DBOAa9GAJNY/?igsh=cDRjZnVra2ZzcWN2,,"Facebook, Instagram, TikTok, Youtube",,🎥 Da registrare,Trend
NEOGELA: Va bene,Neogela,,,,,,,Reel,https://www.instagram.com/reel/DHlSbYotUaW/?igsh=YWhjN2hpYTUwemh0,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
NEOGELA: Quando ti rendi conto che…,Neogela,,,,,,,Reel,https://www.instagram.com/reel/DHbFR6dNRyT/?igsh=bHJmZmlqdzl2ZDFh,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
NEOGELA: Foglio strappato (per una PROMO),Neogela,,,Bustine in omaggio,"È di approfittarne: da oggi più acquisti, più bustine di collagene in omaggio ricevi! 🤩🤩

È attiva la promo estiva: con una spesa minima di €50 ricevi le comode bustine di collagene da 5g da portare in viaggio! E più spendi, più te ne regaliamo.  
Ma non è finita qui: avrai anche un super gadget estivo. 

Corri nel nostro shop ed effettua il tuo ordine per ottenere la tua dose di collagene estiva in regalo 💯
⏲️ Offerta valida fino al 24/07",14/07/2025,,Reel,https://www.instagram.com/reel/DHyl0u0Ak-Y/?igsh=MXRhYm9vc25zbWR3cg==,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Trend
NEOGELA: Scatola lanciata,Neogela,,,,,,,Reel,https://www.instagram.com/reel/DE6GsOhyT_P/?igsh=ZHF5emd3cWIwZm84,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
NEOGELA: Scegli uno dei biglietti,Neogela,,,,,,29/01/2026,Reel,https://www.instagram.com/reel/DH8zpT_gyU0/?igsh=NnN6NGhxbjR5NGJ1,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Trend
LYNUP: gorilla che lancia acqua,,,,Schermata finale dove bevo e c’è la frase,"Per non dimenticare mai la propria dose giornaliera di vitamine e minerali per le ossa 💪

➡️ Un bicchiere d’acqua
➡️ Dopo il pranzo

Le tue ossa ti ringrazieranno 😉",22/12/2025,16/10/2025,Reel,https://www.instagram.com/reel/DBydW31uyJ6/?igsh=eWwwY2xld3Rrano4,,"Facebook, Instagram, TikTok, Youtube",,🗓️ Programmato,Trend
NEOGELA: meet the team,Neogela,,,Conosci il team,"Dietro Neogela, ci siamo noi 😉
Piacere di conoscerti!",05/09/2025,,Reel,https://www.instagram.com/reel/DHGhUmRBepo/?igsh=d2ZmN3RiMGJnMDBx,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Trend
LYNUP: moto che cade,,,,,,,,Reel,https://www.instagram.com/reel/DHQkv6wOQAr/?igsh=MWw3MnNxb2loNm41MA==,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
LYNUP: blow on your screen,,,,Lynup è in promozione,"Una promo fresca fresca ti aspetta sul nostro shop online: ulteriori sconti attivi e in regalo un comodo ventaglio richiudibile 🤩

Corri sul sito a scoprire le offerte ☀️",23/07/2025,,Reel,https://www.instagram.com/reel/DEsIYxso9i3/?igsh=MTM0MXZqdncxcXIxbA==,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Trend
NEOGELA: cofano macchina,Neogela,,,,,,,Reel,https://www.instagram.com/reel/DDNuiUFxxlq/?igsh=ZWlkZXgwMnNybzl1,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
LYNUP: carillon (per PROMO),,,,La promo estiva è iniziata (schermata video),"La promo estiva è iniziata!

Ulteriori sconti attivi online e un super gadget estivo in regalo. 
Cosa aspetti? Corri sul sito prima che il carillon smetta di suonare 😜

⚠️ Offerta valida fino al 27/07",16/07/2025,,Reel,https://www.instagram.com/reel/DF_A8FIRJa4/?igsh=enJhZTR4YXBmcjIy,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Trend
NEOGELA: Where is the team,Neogela,,,,,,,Reel,https://www.instagram.com/reel/DCoYaZfzv5Q/?igsh=aWs5Mmt6c2xrNHBm,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
LYNUP: 3 cose che ti faranno innamorare di Lynup,,,,"3 motivi per scegliere Lynup ","✅ Semplicità
✅ Logica scientifica
✅Costanza

Ecco perché Lynup è il giusto alleato della tua salute ossea 💜",04/08/2025,,Reel,,,"Facebook, Instagram, TikTok",,🗓️ Programmato,Differenziazione
LYNUP: kit di salute per l’estate,,,,Il tuo kit di salute per l’estate,"Sei sicura di aver preso tutto quello che serve per affrontare al meglio la tua estate? 😎
Spesso ci ricordiamo di proteggere la nostra pelle e i nostri capelli, ma ci dimentichiamo delle ossa. 

Perciò ecco la tua checklist per la borsa mare:
✅ crema solare
✅ olio e maschera per i capelli
✅ occhiali da sole
✅ telo mare
✅ LYNUP 

1 capsula al giorno e proteggi le tue ossa, anche in estate! ☀️",21/07/2025,,Reel,,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Differenziazione
NEOGELA: 3 consigli di integrazione di collagene per la tua estate,Neogela,,,3 consigli per integrare il collagene in estate,"Stai pensando di rimandare l’assunzione di collagene a settembre? Non farlo!
Ecco 3 consigli per integrare Neogela al meglio, anche nei mesi caldi 😎",25/07/2025,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Consigli
NEOGELA: giornata internazionale del bacio - qualcuno bacia Neogela,Neogela,,,,,06/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,🏝️ Grafica da preparare,
"NEOGELA: carosello dosaggio collagene ",Neogela,,,-,Sai quanto collagene devi assumere al giorno? Scorri e trova il dosaggio adatto a te 😉,11/07/2025,,Carosello,,,"Facebook, Instagram, TikTok, Youtube",,🗓️ Programmato,Differenziazione
NEOGELA: PROMO,Neogela,,,,,16/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
NEOGELA: PROMO,Neogela,,,,,15/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
LYNUP: domani parte la promo estiva,,,,,,15/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
LYNUP: Scarica contenuto informativo / Fai questo quiz (per Lead Generation Pre Promo estiva),,,,,,,,Reel,,,"Facebook, Instagram, TikTok",,✅ Pubblicato,ADS
"LYNUP: vitamina D per salvare le ossa in menopausa, è sufficiente?",,,,La vitamina D non è sufficiente,"Ti hanno prescritto la vitamina D? Non è così che salverai le tue ossa, perché da sola non è sufficiente. ❌

Per mantenere il tuo scheletro in salute serve una combinazione di vitamine e minerali da abbinare alla vitamina D: scopri quali in questo video e segui la pagina per altri consigli 💜",21/08/2025,,Reel,,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Informativo
LYNUP: se non vedi il numero,,,,schermata,Mi sa che è ora di fare qualcosa per la tua salute ossea 😉,25/08/2025,,Reel,https://www.instagram.com/p/Cn7gXreshE8/?igsh=MW1zcjQ1bHppamc3YQ%3D%3D,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,Trend
NEOGELA: Presentazione progetto “Alla tua salute ci pensa Neogela” - cerchiamo candidati,Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,ADS
NEOGELA: Quanto conta la composizione aminoacidica,Neogela,,,,,,,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Differenziazione
NEOGELA: il magazzino si riempie,Neogela,,,,,,27/10/2025,Reel,,,"Facebook, Instagram, TikTok, Youtube",,Spostato in Notion MUVI Lab,Trend
LYNUP: sono scarica e poi prendo Lynup e il mondo diventa a colori,,,,Schermata “il mio integratore per ossa e articolazioni più forti”,Basta 1 capsula per ritrovare la carica di cui le mie ossa hanno bisogno 💪,18/08/2025,,Reel,,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Trend
LYNUP: 3 abitudini per prevenire l’osteoporosi,,,,3 abitudini per prevenire l’osteoporosi,"Queste 3 abitudini ti aiuteranno a prevenire la fragilità ossea
✅ Alimentazione ricca e varia
✅ Attività fisica costante con esercizi resistenza e carico
❌ No a fumo e alcol

Forse non lo sapevi ma anche le ossa, come tutti gli altri tessuti, invecchiano. Invecchiare per le ossa vuol dire perdere materia e diventare più fragili, con il rischio di fratturarsi più facilmente. 

Ecco perché adottare dei comportamenti preventivi sin dalla giovane età è un’ottima pratica per evitare futuri problemi di osteoporosi. 

E tu? Hai già messo in pratica questi consigli? Faccelo sapere nei commenti 💬",18/09/2025,,Reel,,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Consigli
NEOGELA: bambino che piange e non riesce a spiegare,Neogela,,,,,,,Reel,https://www.youtube.com/shorts/QtuT8zwgVfQ,,"Facebook, Instagram, TikTok, Youtube",,💡 Idea,Trend
"NEOGELA: recensione ",Neogela,,,,,25/06/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
NEOGELA: avviso diretta,Neogela,,,,,03/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
NEOGELA: avviso diretta,Neogela,,,,,30/06/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
NEOGELA: avviso diretta (1),Neogela,,,,,02/07/2025,,Storia,,,"Facebook, Instagram, TikTok, Youtube",,✅ Pubblicato,
LYNUP: gioco del tris,,,,screen schermata video con frase,Per vincere basta mettere in campo i giusti nutrienti ✅,30/07/2025,,Reel,,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Trend
LYNUP: messaggio nel sacchetto,,,,schermata “Perché iniziare oggi”,"Le tue ossa potrebbero essere in difficoltà senza che tu lo sappia. 

➡️ Se sei in menopausa
➡️ Hai uno stile di vita sedentario 
➡️ La tua dieta non è equilibrata
➡️ Hai avuto casi di osteoporosi in famiglia
➡️ Sei in gravidanza o allattamento

Le tue ossa hanno bisogno delle giuste vitamine e minerali: con 1 capsula di Lynup al giorno puoi aiutarle in modo semplice ed essenziale. 💜",06/08/2025,,Reel,,,"Facebook, Instagram, TikTok",,🗓️ Programmato,Trend
LYNUP: prendi le capsule (da pubblicare a mano con adesivo),,,,Catture le capsule,Usa le manine e prendine più che puoi 👐,09/07/2025,,Reel,,,"Facebook, Instagram, TikTok",,✅ Pubblicato,Trend
